2.7988,0.78125,1.6785,-30.162,15.529,13.773,0.267,0.19093,3.5595,39.554,0.053392,-6.2016e-17,-2.4696e+05,-848.89,-721.96,-971.4,-1.0071e+05,-84284,-1.1609e+05,-8.6308e+12,-5.1429e+12,-1.3118e+13,44.306,53.41,25.805,28.782,25.701,5.6215,0.33531,0.31685,0.14819,0.11287,0.10079,0.022045,0.56907,0.46371,0.21823,0.036299,0.059596,0.022494,0
3.6412,1.5625,2.3781,-25.062,15.214,12.498,0.31227,0.37701,3.7974,100.21,0.06054,9.966e-16,-2.4924e+05,-855.74,-609.74,-844.89,-94234,-62075,-92347,-7.6169e+12,-2.3572e+12,-7.2223e+12,57.076,77.954,40.773,64.131,56.573,14.95,0.50051,0.47009,0.24166,0.25149,0.22185,0.058628,0.82371,0.65199,0.33023,0.03534,0.092384,0.03687,0
3.9372,9.375,3.1959,-14.325,13.597,11.071,0.22035,0.066767,3.2494,68.817,0.035062,4.9179e-16,-4.1458e+05,-1502.6,-1511.7,-1549.9,-1.5092e+05,-1.5209e+05,-1.5682e+05,-3.4269e+13,-3.5016e+13,-3.8167e+13,48.891,22.099,20.153,77.757,9.7253,8.9762,0.55112,0.19491,0.18725,0.30493,0.038138,0.035201,0.89335,0.29449,0.29819,0.0028247,0.0027252,0.0023476,0
2.3608,0.78125,1.6734,-29.528,15.561,14.058,0.1779,-0.11344,2.9134,40.852,0.055161,-5.0697e-16,-2.4176e+05,-823.32,-750.05,-1117.8,-95018,-87785,-1.3661e+05,-7.4513e+12,-5.7955e+12,-2.09e+13,44.816,44.606,17.386,24.503,14.732,2.3207,0.30938,0.23989,0.095211,0.09609,0.057773,0.0091007,0.49469,0.3285,0.13011,0.040112,0.053403,0.012696,0
4.0362,1.1719,2.3078,-27.761,15.273,11.998,0.19508,-0.051774,3.0583,39.825,0.047914,3.1962e-16,-2.6919e+05,-941.03,-856.62,-1161,-1.076e+05,-1.0205e+05,-1.3559e+05,-1.0917e+13,-8.9425e+12,-2.1383e+13,50.68,40.98,17.703,73.999,23.005,3.4338,0.53764,0.29977,0.11582,0.29019,0.090217,0.013466,0.95587,0.50284,0.17766,0.025327,0.035219,0.010724,0
1.8639,2.9297,2.2556,-27.993,15.414,13.654,0.15804,-0.041328,2.753,44.77,0.050555,-2.2378e-16,-2.5969e+05,-931.91,-978.67,-1275.1,-1.0524e+05,-1.1398e+05,-1.5016e+05,-1.0343e+13,-1.2741e+13,-2.8794e+13,40.208,27.379,12.689,19.604,6.2794,1.2484,0.27673,0.15662,0.069831,0.076879,0.024625,0.0048955,0.4058,0.21403,0.088493,0.026246,0.021864,0.0068684,0
6.5797,1.1719,3.2833,-20.303,14.604,10.597,0.28034,0.14764,3.6564,39.315,0.045038,-6.4705e-16,-3.0851e+05,-1115.6,-806.81,-1031.7,-1.1921e+05,-74731,-1.0435e+05,-1.5882e+13,-4.517e+12,-1.1255e+13,54.795,75.803,42.123,144.82,105.04,31.28,0.75212,0.64055,0.34955,0.5679,0.41191,0.12267,1.4053,1.0003,0.53007,0.012805,0.042783,0.017775,0
4.205,3.5156,3.6945,-20.885,14.772,11.802,0.96136,1.1608,6.384,36.174,0.048124,4.4322e-16,-3.0257e+05,-1093.8,-1129.6,-1402.7,-1.1197e+05,-1.1852e+05,-1.5171e+05,-1.3738e+13,-1.5897e+13,-3.2331e+13,40.685,24.978,13.002,34.541,7.3911,2.2539,0.36732,0.16992,0.093831,0.13546,0.028985,0.0088389,0.60057,0.25055,0.14124,0.013947,0.012125,0.004172,0
7.9691,0.39063,3.1477,-23.489,14.773,9.8582,0.21372,-0.12562,3.193,32.08,0.037595,-2.1034e-16,-3.1257e+05,-1106.5,-687.71,-864.77,-1.2662e+05,-69696,-92110,-1.7773e+13,-3.3503e+12,-7.3539e+12,57.604,95.732,62.595,186.62,236.68,95.232,0.85381,0.96153,0.60992,0.73185,0.92817,0.37346,1.5753,1.6922,1.0433,0.01327,0.068128,0.034116,0
13.992,0.78125,2.9359,-17.357,13.824,8.529,0.20734,0.45276,3.022,74.059,0.034273,8.0665e-17,-3.5801e+05,-1288.9,-747.22,-915.7,-1.4097e+05,-71670,-95402,-2.5654e+13,-3.8485e+12,-8.3525e+12,70.374,107.93,72.471,418.16,369.12,231.63,1.2781,1.2008,0.95122,1.6399,1.4475,0.90836,2.5396,2.0883,1.8089,0.006507,0.053997,0.027961,0
